LidoSRv3.Audit.Source.SszPubkeyBytes.key_size: [propext, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.block_size: [propext, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.block_eq_raw: [propext, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.pubkey_digest_typed: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.computed_leaf_typed: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.witness_key_length: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.run_success_computed_leaf: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.pubkey_success_digest: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.memory_exact: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.read_exact: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.copy_padded: [propext, Classical.choice, Quot.sound]
LidoSRv3.Tests.SszPubkeyBytesMutants.truncated_copy_zero_extends: [propext, Classical.choice, Quot.sound]
LidoSRv3.Tests.SszPubkeyBytesMutants.absent_copy_frames_tail: [propext, Classical.choice, Quot.sound]
LidoSRv3.Tests.SszPubkeyBytesMutants.dirty_padding_mutant_killed: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszPubkeyBytes.run_success_computed_leaf: [propext, Classical.choice, Quot.sound]
